,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
194,0,ICU model (LG+imputed) Train,False,0,0.93,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
195,0,ICU model (LG+imputed) Train,False,0,0.9400000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
196,0,ICU model (LG+imputed) Train,False,0,0.9500000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
197,0,ICU model (LG+imputed) Train,False,0,0.96,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
198,0,ICU model (LG+imputed) Train,False,0,0.97,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
199,0,ICU model (LG+imputed) Train,False,0,0.98,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
200,0,ICU model (LG+imputed) Train,False,0,0.99,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
201,0,ICU model (LG+imputed) Train,False,0,1.0,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
202,1,ICU model (LG+imputed),False,0,0.0,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
203,1,ICU model (LG+imputed),False,0,0.01,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
204,1,ICU model (LG+imputed),False,0,0.02,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
205,1,ICU model (LG+imputed),False,0,0.03,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
206,1,ICU model (LG+imputed),False,0,0.04,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
207,1,ICU model (LG+imputed),False,0,0.05,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
208,1,ICU model (LG+imputed),False,0,0.06,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
209,1,ICU model (LG+imputed),False,0,0.07,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
210,1,ICU model (LG+imputed),False,0,0.08,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
211,1,ICU model (LG+imputed),False,0,0.09,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
212,1,ICU model (LG+imputed),False,0,0.1,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
213,1,ICU model (LG+imputed),False,0,0.11,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
214,1,ICU model (LG+imputed),False,0,0.12,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
215,1,ICU model (LG+imputed),False,0,0.13,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
216,1,ICU model (LG+imputed),False,0,0.14,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
217,1,ICU model (LG+imputed),False,0,0.15,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
218,1,ICU model (LG+imputed),False,0,0.16,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
219,1,ICU model (LG+imputed),False,0,0.17,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
220,1,ICU model (LG+imputed),False,0,0.18,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
221,1,ICU model (LG+imputed),False,0,0.19,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
222,1,ICU model (LG+imputed),False,0,0.2,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
223,1,ICU model (LG+imputed),False,0,0.21,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
224,1,ICU model (LG+imputed),False,0,0.22,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
225,1,ICU model (LG+imputed),False,0,0.23,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
226,1,ICU model (LG+imputed),False,0,0.24,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
227,1,ICU model (LG+imputed),False,0,0.25,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
228,1,ICU model (LG+imputed),False,0,0.26,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
229,1,ICU model (LG+imputed),False,0,0.27,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
230,1,ICU model (LG+imputed),False,0,0.28,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
231,1,ICU model (LG+imputed),False,0,0.29,0,0.5,0.7,0.4444444444444445,0.0,1.0,1.0
232,1,ICU model (LG+imputed),False,0,0.3,0,0.5,0.7,0.0,1.0,0.0,0.0
233,1,ICU model (LG+imputed),False,0,0.31,0,0.5,0.7,0.0,1.0,0.0,0.0
234,1,ICU model (LG+imputed),False,0,0.32,0,0.5,0.7,0.0,1.0,0.0,0.0
235,1,ICU model (LG+imputed),False,0,0.33,0,0.5,0.7,0.0,1.0,0.0,0.0
236,1,ICU model (LG+imputed),False,0,0.34,0,0.5,0.7,0.0,1.0,0.0,0.0
237,1,ICU model (LG+imputed),False,0,0.35000000000000003,0,0.5,0.7,0.0,1.0,0.0,0.0
238,1,ICU model (LG+imputed),False,0,0.36,0,0.5,0.7,0.0,1.0,0.0,0.0
239,1,ICU model (LG+imputed),False,0,0.37,0,0.5,0.7,0.0,1.0,0.0,0.0
240,1,ICU model (LG+imputed),False,0,0.38,0,0.5,0.7,0.0,1.0,0.0,0.0
241,1,ICU model (LG+imputed),False,0,0.39,0,0.5,0.7,0.0,1.0,0.0,0.0
242,1,ICU model (LG+imputed),False,0,0.4,0,0.5,0.7,0.0,1.0,0.0,0.0
243,1,ICU model (LG+imputed),False,0,0.41000000000000003,0,0.5,0.7,0.0,1.0,0.0,0.0
244,1,ICU model (LG+imputed),False,0,0.42,0,0.5,0.7,0.0,1.0,0.0,0.0
